	Word	PoS		Freq	Ra	Disp
	@	@	competence	15	93	0.90
	@	@	competences	1	23	0.63
	competent	Adj	:	12	97	0.92
	competition	NoC	%	101	100	0.92
	@	@	competition	94	100	0.92
	@	@	competitions	7	86	0.89
	competitive	Adj	:	37	94	0.91
	competitor	NoC	%	22	96	0.91
	@	@	competitor	6	86	0.88
	@	@	competitors	16	94	0.91
	compile	Verb	%	14	95	0.93
	@	@	compile	2	79	0.91
	@	@	compiled	9	90	0.92
	@	@	compiles	0	17	0.76
	@	@	compiling	3	84	0.92
	complain	Verb	%	44	100	0.97
	@	@	complain	14	100	0.96
	@	@	complained	19	100	0.95
	@	@	complaining	9	99	0.96
	@	@	complains	2	73	0.90
	complaint	NoC	%	45	100	0.94
	@	@	complaint	18	100	0.93
	@	@	complaints	27	100	0.93
	complete	Adj	%	94	100	0.95
	@	@	complete	94	100	0.95
	complete	Verb	%	100	100	0.94
	@	@	complete	34	100	0.94
	@	@	completed	55	99	0.94
	@	@	completes	2	66	0.89
	@	@	completing	9	96	0.93
	completely	Adv	:	86	100	0.97
	completion	NoC	%	25	97	0.82
	@	@	completion	25	97	0.82
	@	@	completions	1	19	0.69
	complex	Adj	:	72	99	0.92
	complex	NoC	%	28	100	0.84
	@	@	complex	23	100	0.89
	@	@	complexes	6	72	0.57
	complexity	NoC	%	22	95	0.91
	@	@	complexities	5	89	0.91
	@	@	complexity	17	88	0.90
	compliance	NoC	%	13	92	0.86
	@	@	compliance	13	92	0.86
	complicated	Adj	:	29	100	0.95
	complication	NoC	%	12	98	0.81
	@	@	complication	4	83	0.83
	@	@	complications	9	97	0.80
	comply	Verb	%	21	96	0.88
	@	@	complied	4	82	0.86
	@	@	complies	1	43	0.83
	@	@	comply	14	94	0.88
	@	@	complying	2	58	0.86
	component	NoC	%	58	97	0.89
	@	@	component	26	92	0.89
	@	@	components	32	95	0.89
	compose	Verb	%	24	97	0.92
	@	@	compose	2	79	0.90
	@	@	composed	20	97	0.91
	@	@	composes	0	13	0.74
	@	@	composing	2	66	0.85
	composer	NoC	%	15	82	0.79
	@	@	composer	10	74	0.80
	@	@	composers	5	60	0.75
	composition	NoC	%	27	93	0.90
	@	@	composition	23	92	0.90
	@	@	compositions	4	69	0.81
	compound	NoC	%	20	91	0.86
	@	@	compound	11	91	0.88
	@	@	compounds	9	72	0.82
	comprehensive	Adj	:	35	99	0.92
	comprise	Verb	%	34	97	0.91
	@	@	comprise	7	79	0.90
	@	@	comprised	7	90	0.89
	@	@	comprises	9	80	0.90
	@	@	comprising	11	88	0.86
	compromise	NoC	%	19	97	0.91
	@	@	compromise	16	97	0.90
	@	@	compromises	3	74	0.90
	compulsory	Adj	:	17	96	0.92
	computer	NoC	%	174	100	0.85
	@	@	computer	138	100	0.85
	@	@	computers	36	100	0.82
	computing	NoC	:	19	82	0.74
	conceal	Verb	%	17	96	0.93
	@	@	conceal	7	94	0.93
	@	@	concealed	7	91	0.92
	@	@	concealing	2	72	0.89
	@	@	conceals	1	57	0.87
	concede	Verb	%	18	95	0.93
	@	@	concede	5	89	0.92
	@	@	conceded	10	94	0.92
	@	@	concedes	2	60	0.87
	@	@	conceding	2	68	0.89
	conceive	Verb	%	18	99	0.91
	@	@	conceive	5	93	0.90
	@	@	conceived	12	95	0.91
	@	@	conceives	1	35	0.81
	@	@	conceiving	1	34	0.81
	concentrate	Verb	%	71	100	0.96
	@	@	concentrate	31	100	0.96
	@	@	concentrated	24	98	0.94
	@	@	concentrates	5	82	0.90
	@	@	concentrating	12	100	0.96
	concentration	NoC	%	60	100	0.79
	@	@	concentration	39	100	0.86
	@	@	concentrations	21	71	0.63
	concept	NoC	%	91	98	0.91
	@	@	concept	64	98	0.92
	@	@	concepts	27	93	0.89
	conception	NoC	%	23	96	0.87
	@	@	conception	19	96	0.88
	@	@	conceptions	5	60	0.83
	conceptual	Adj	:	10	75	0.87
	concern	NoC	%	121	100	0.95
	@	@	concern	96	100	0.95
	@	@	concerns	25	98	0.93
	concern	Verb	%	30	100	0.94
	@	@	concern	8	98	0.94
	@	@	concerned	5	92	0.93
	@	@	concerning	3	85	0.91
	@	@	concerns	13	96	0.93
	concerned	Adj	:	158	100	0.95
	concerning	Prep	:	31	98	0.92
	concert	NoC	%	26	100	0.91
	@	@	concert	19	100	0.90
	@	@	concerts	8	94	0.90
	concession	NoC	%	18	98	0.91
	@	@	concession	7	93	0.90
	@	@	concessions	11	94	0.89
	conclude	Verb	%	56	99	0.93
	@	@	conclude	15	97	0.92
	@	@	concluded	31	97	0.92
	@	@	concludes	8	84	0.91
	@	@	concluding	3	78	0.89
	conclusion	NoC	%	75	100	0.93
	@	@	conclusion	51	100	0.92
	@	@	conclusions	24	99	0.92
	concrete	Adj	:	18	97	0.94
	condemn	Verb	%	23	98	0.91
	@	@	condemn	5	93	0.91
	@	@	condemned	14	98	0.90
	@	@	condemning	3	83	0.89
	@	@	condemns	1	58	0.85
	condition	NoC	%	237	100	0.94
	@	@	condition	83	100	0.93
	@	@	conditions	154	100	0.93
	conduct	NoC	%	29	95	0.87
	@	@	conduct	29	95	0.87
	conduct	Verb	%	52	99	0.93
	@	@	conduct	12	96	0.93
	@	@	conducted	30	97	0.93
	@	@	conducting	7	96	0.92
	@	@	conducts	2	61	0.88
	confer	Verb	%	13	95	0.88
	@	@	confer	4	87	0.88
	@	@	conferred	6	85	0.83
	@	@	conferring	1	60	0.87
	@	@	confers	2	65	0.87
	conference	NoC	%	112	100	0.88
	@	@	conference	101	100	0.88
	@	@	conferences	12	95	0.90
	confess	Verb	%	16	99	0.93
	@	@	confess	7	91	0.90
	@	@	confessed	7	90	0.91
	@	@	confesses	2	58	0.87
	@	@	confessing	1	54	0.88
	confidence	NoC	%	71	100	0.95
	@	@	confidence	70	100	0.95
	@	@	confidences	1	43	0.84
	confident	Adj	:	32	100	0.94
	confidential	Adj	:	11	99	0.86
	configuration	NoC	%	13	86	0.68
	@	@	configuration	10	78	0.62
	@	@	configurations	3	57	0.74
	confine	Verb	%	27	97	0.93
	@	@	confine	3	87	0.91
	@	@	confined	22	97	0.93
	@	@	confines	0	31	0.81
	@	@	confining	1	58	0.89
	confirm	Verb	%	87	100	0.93
	@	@	confirm	26	100	0.88
	@	@	confirmed	48	98	0.91
	@	@	confirming	5	92	0.93
	@	@	confirms	7	93	0.92
	confirmation	NoC	%	12	98	0.92
	@	@	confirmation	12	98	0.93
	@	@	confirmations	0	17	0.66
	conflict	NoC	%	70	99	0.92
	@	@	conflict	56	99	0.92
	@	@	conflicts	15	87	0.90
	conform	Verb	%	13	93	0.92
	@	@	conform	8	90	0.92
	@	@	conformed	1	61	0.88
	@	@	conforming	1	61	0.87
	@	@	conforms	2	64	0.88
	confront	Verb	%	24	99	0.95
	@	@	confront	7	96	0.93
	@	@	confronted	12	99	0.95
	@	@	confronting	4	88	0.93
	@	@	confronts	1	59	0.88
	confrontation	NoC	%	12	97	0.91
	@	@	confrontation	10	97	0.92
	@	@	confrontations	2	69	0.87
	confuse	Verb	%	13	100	0.95
	@	@	confuse	5	96	0.94
	@	@	confused	6	98	0.93
	@	@	confuses	1	51	0.87
	@	@	confusing	1	69	0.91
	confused	Adj	:	19	100	0.96
	confusion	NoC	%	30	99	0.96
	@	@	confusion	29	99	0.96
	@	@	confusions	1	56	0.87
	congregation	NoC	%	12	92	0.85
	@	@	congregation	10	89	0.86
	@	@	congregations	2	51	0.73
	congress	NoC	%	56	94	0.76
	@	@	congress	55	94	0.76
	@	@	congresses	1	38	0.74
	connect	Verb	%	44	100	0.94
	@	@	connect	7	100	0.90
	@	@	connected	31	100	0.94
	@	@	connecting	4	87	0.89
	@	@	connects	2	69	0.85
	connection	NoC	%	56	100	0.93
	@	@	connection	35	100	0.94
	@	@	connections	21	99	0.91
	conscience	NoC	%	15	100	0.92
	@	@	conscience	14	100	0.92
	@	@	consciences	1	53	0.85
	conscious	Adj	:	31	100	0.94
	consciousness	NoC	%	26	96	0.87
	@	@	consciousness	26	96	0.87
	@	@	consciousnesses	0	9	0.61
	consensus	NoC	:	18	88	0.91
	consent	NoC	%	34	98	0.82
	@	@	consent	32	98	0.82
	@	@	consents	2	35	0.61
	consequence	NoC	%	79	100	0.93
	@	@	consequence	34	98	0.92
	@	@	consequences	44	100	0.92
	consequently	Adv	:	25	99	0.92
	conservation	Adj	:	14	76	0.81
	conservation	NoC	%	25	88	0.67
	@	@	conservation	25	88	0.67
	conservative*	Adj	:	64	98	0.88
	conservative*	NoC	%	31	94	0.86
	@	@	conservative	7	89	0.90
	@	@	conservatives	23	85	0.85
	consider	Verb	%	289	100	0.94
	@	@	consider	117	100	0.93
	@	@	considered	134	100	0.94
	@	@	considering	26	99	0.93
	@	@	considers	12	94	0.92
	considerable	Adj	:	96	99	0.93
	considerably	Adv	:	29	100	0.94
	consideration	NoC	%	78	100	0.90
	@	@	consideration	54	100	0.89
	@	@	considerations	24	94	0.91
	consist	Verb	%	64	99	0.92
	@	@	consist	12	94	0.91
	@	@	consisted	13	96	0.92
	@	@	consisting	13	91	0.91
	@	@	consists	26	91	0.91
	consistent	Adj	:	31	96	0.91
	consistently	Adv	:	16	94	0.94
	conspiracy	NoC	%	12	93	0.89
	@	@	conspiracies	0	36	0.85
	@	@	conspiracy	11	93	0.89
	constable	NoC	%	22	95	0.88
	@	@	constable	18	93	0.88
	@	@	constables	4	74	0.82
	Constance	NoP	:	12	50	0.40
	constant	Adj	:	47	100	0.94
	constantly	Adv	:	31	100	0.95
	constituency	NoC	%	27	91	0.79
	@	@	constituencies	8	75	0.82
	@	@	constituency	19	89	0.77
	constituent	NoC	%	17	88	0.79
	@	@	constituent	9	80	0.84
	@	@	constituents	8	85	0.66
	constitute	Verb	%	39	97	0.91
	@	@	constitute	16	89	0.90
	@	@	constituted	10	90	0.89
	@	@	constitutes	10	85	0.90
	@	@	constituting	2	66	0.88
	constitution	NoC	%	42	93	0.79
	@	@	constitution	40	93	0.78
	@	@	constitutions	2	50	0.73
	constitutional	Adj	:	31	86	0.80
	constraint	NoC	%	26	95	0.90
	@	@	constraint	7	86	0.86
	@	@	constraints	19	87	0.90
	construct	Verb	%	44	99	0.92
	@	@	construct	13	93	0.91
	@	@	constructed	25	98	0.92
	@	@	constructing	5	90	0.92
	@	@	constructs	1	52	0.87
	construction	NoC	%	66	100	0.92
	@	@	construction	63	100	0.92
	@	@	constructions	3	69	0.85
	consult	Verb	%	28	99	0.95
	@	@	consult	12	99	0.93
	@	@	consulted	12	97	0.94
	@	@	consulting	4	93	0.92
	@	@	consults	0	24	0.79
	consultant	NoC	%	32	99	0.89
	@	@	consultant	16	97	0.90
	@	@	consultants	16	90	0.85
	consultation	NoC	%	29	95	0.90
	@	@	consultation	24	95	0.90
	@	@	consultations	5	80	0.86
	consume	Verb	%	19	100	0.92
	@	@	consume	5	94	0.89
	@	@	consumed	8	97	0.91
	@	@	consumes	1	41	0.81
	@	@	consuming	5	95	0.92
	consumer	NoC	%	67	96	0.90
	@	@	consumer	44	91	0.89
	@	@	consumers	23	86	0.89
	consumption	NoC	%	33	97	0.88
	@	@	consumption	33	97	0.88
	contact	NoC	%	83	100	0.95
	@	@	contact	62	100	0.95
	@	@	contacts	21	99	0.92
	contact	Verb	%	57	100	0.91
	@	@	contact	42	100	0.90
	@	@	contacted	11	99	0.91
	@	@	contacting	3	82	0.90
	@	@	contacts	1	36	0.82
	contain	Verb	%	181	99	0.93
	@	@	contain	45	99	0.92
	@	@	contained	49	98	0.93
	@	@	containing	41	96	0.89
	@	@	contains	46	97	0.92
	container	NoC	%	16	98	0.90
	@	@	container	8	95	0.90
	@	@	containers	7	92	0.88
	contemplate	Verb	%	17	98	0.95
	@	@	contemplate	6	94	0.94
	@	@	contemplated	5	93	0.92
	@	@	contemplates	1	46	0.86
	@	@	contemplating	5	97	0.94
	contemporary	Adj	:	44	96	0.89
	contemporary	NoC	%	10	89	0.89
	@	@	contemporaries	9	89	0.88
	@	@	contemporary	1	57	0.86
	contempt	NoC	%	13	96	0.88
	@	@	contempt	13	96	0.88
	@	@	contempts	0	5	0.52
	content	Adj	:	16	98	0.94
	content	NoC	%	75	100	0.93
	@	@	content	45	100	0.92
	@	@	contents	30	100	0.91
	contest	NoC	%	17	100	0.90
	@	@	contest	14	100	0.90
	@	@	contests	3	63	0.87
	context	NoC	%	98	99	0.90
	@	@	context	86	99	0.90
	@	@	contexts	12	76	0.85
	continent	NoC	%	19	100	0.92
	@	@	continent	16	100	0.93
	@	@	continents	4	72	0.80
	continental	Adj	:	17	95	0.86
	continually	Adv	:	13	99	0.94
	continue	Verb	%	283	100	0.96
	@	@	continue	118	100	0.95
	@	@	continued	106	100	0.94
	@	@	continues	40	99	0.93
	@	@	continuing	19	99	0.94
	continued	Adj	:	21	97	0.92
	continuing	Adj	:	34	98	0.92
	continuity	NoC	%	14	92	0.91
	@	@	continuities	1	33	0.80
	@	@	continuity	13	92	0.91
	continuous	Adj	:	26	100	0.93
	contract	NoC	%	159	100	0.83
	@	@	contract	114	100	0.82
	@	@	contracts	44	99	0.83
	contract	Verb	%	16	99	0.93
	@	@	contract	5	93	0.90
	@	@	contracted	7	97	0.93
	@	@	contracting	3	78	0.89
	@	@	contracts	1	44	0.80
	contractor	NoC	%	16	96	0.88
	@	@	contractor	7	85	0.83
	@	@	contractors	9	92	0.90
	contradiction	NoC	%	15	96	0.90
	@	@	contradiction	8	95	0.90
	@	@	contradictions	7	87	0.87
	contrary	NoC	%	13	95	0.93
	@	@	contrary	13	95	0.93
	contrary to	Prep	:	13	93	0.88
	contrast	NoC	%	66	99	0.92
	@	@	contrast	62	99	0.92
	@	@	contrasts	4	76	0.87
	contrast	Verb	%	15	96	0.92
	@	@	contrast	4	77	0.91
	@	@	contrasted	5	86	0.91
	@	@	contrasting	2	77	0.90
	@	@	contrasts	4	69	0.89
	contribute	Verb	%	64	100	0.93
	@	@	contribute	27	95	0.92
	@	@	contributed	23	98	0.93
	@	@	contributes	5	80	0.91
	@	@	contributing	9	97	0.93
	contribution	NoC	%	82	100	0.93
	@	@	contribution	54	99	0.93
	@	@	contributions	28	98	0.91
	control	NoC	%	270	100	0.94
	@	@	control	238	100	0.94
	@	@	controls	32	100	0.87
	control	Verb	%	116	100	0.95
	@	@	control	53	100	0.95
	@	@	controlled	36	99	0.95
	@	@	controlling	17	97	0.93
	@	@	controls	11	93	0.92
	controlled	Adj	:	10	97	0.91
	controller	NoC	%	12	91	0.86
	@	@	controller	9	85	0.84
	@	@	controllers	3	66	0.84
	controversial	Adj	:	21	95	0.91
	controversy	NoC	%	21	91	0.91
	@	@	controversies	2	61	0.88
	@	@	controversy	19	90	0.91
	convenient	Adj	:	20	100	0.94
	convention	NoC	%	47	97	0.86
	@	@	convention	35	96	0.84
	@	@	conventions	12	91	0.86
	conventional	Adj	:	39	99	0.93
	conversation	NoC	%	65	100	0.92
	@	@	conversation	55	100	0.92
	@	@	conversations	10	99	0.92
	conversion	NoC	%	24	97	0.91
	@	@	conversion	21	97	0.91
	@	@	conversions	3	59	0.81
	convert	Verb	%	39	100	0.93
	@	@	convert	11	96	0.92
	@	@	converted	20	98	0.93
	@	@	converting	6	88	0.89
	@	@	converts	2	60	0.86
	convey	Verb	%	19	97	0.93
	@	@	convey	12	96	0.93
	@	@	conveyed	2	76	0.91
	@	@	conveying	3	83	0.90
	@	@	conveys	3	75	0.89
	convict	Verb	%	13	90	0.87
	@	@	convict	1	46	0.81
	@	@	convicted	12	89	0.86
	@	@	convicting	0	21	0.79
	conviction	NoC	%	28	98	0.93
	@	@	conviction	21	98	0.92
	@	@	convictions	8	90	0.91
	convince	Verb	%	23	99	0.95
	@	@	convince	12	99	0.95
	@	@	convinced	8	99	0.94
	@	@	convinces	1	38	0.85
	@	@	convincing	2	73	0.91
	convinced	Adj	:	25	100	0.95
	convincing	Adj	:	12	100	0.94
	Cook	NoP	:	15	98	0.88
	cook	Verb	%	37	100	0.90
	@	@	cook	16	95	0.87
	@	@	cooked	9	93	0.90
	@	@	cooking	11	99	0.92
	@	@	cooks	1	46	0.86
	cooking	NoC	:	16	97	0.91
	cool	Adj	%	34	100	0.91
	@	@	cool	31	100	0.90
	@	@	cooler	3	76	0.90
	@	@	coolest	0	30	0.83
	cool	Verb	%	14	98	0.92
	@	@	cool	6	91	0.90
	@	@	cooled	3	80	0.89
	@	@	cooling	4	86	0.89
	@	@	cools	1	42	0.81
	Cooper	NoP	:	12	91	0.89
	cooperation	NoC	%	12	89	0.89
	@	@	cooperation	12	89	0.89
	cope	Verb	%	52	100	0.95
	@	@	cope	40	100	0.95
	@	@	coped	3	88	0.92
	@	@	copes	1	48	0.87
	@	@	coping	8	98	0.92
	copper	NoC	%	19	99	0.89
	@	@	copper	18	99	0.89
	@	@	coppers	1	42	0.82
	copy	NoC	%	85	100	0.93
	@	@	copies	35	100	0.92
	@	@	copy	51	100	0.92
	copy	Verb	%	21	100	0.91
	@	@	copied	7	97	0.90
	@	@	copies	0	30	0.82
	@	@	copy	9	96	0.87
	@	@	copying	4	92	0.91
	copyright	NoC	%	11	77	0.74
	@	@	copyright	10	76	0.73
	@	@	copyrights	1	21	0.73
	coral	NoC	%	10	86	0.79
	@	@	coral	7	82	0.83
	@	@	corals	3	35	0.65
	Corbett	NoP	%	16	52	0.39
	@	@	Corbett	15	48	0.38
	@	@	Corbetts	0	11	0.48
	core	NoC	%	36	100	0.92
	@	@	core	34	100	0.92
	@	@	cores	2	46	0.78
	corn	NoC	%	12	99	0.87
	@	@	corn	12	99	0.87
	@	@	corns	0	19	0.77
	corner	NoC	%	90	100	0.93
	@	@	corner	75	100	0.93
	@	@	corners	16	98	0.93
	Cornwall	NoP	:	13	97	0.89
	Corp	NoC	%	53	47	0.37
	@	@	Corp	52	45	0.36
	@	@	Corp.	1	15	0.62
	corporate	Adj	:	46	95	0.88
	corporation	NoC	%	45	97	0.89
	@	@	corporation	35	95	0.88
	@	@	corporations	10	82	0.83
	corps	NoC	:	12	85	0.81
	corpse	NoC	%	12	88	0.83
	@	@	corpse	8	80	0.82
	@	@	corpses	4	75	0.85
	correct	Adj	:	59	100	0.94
	correct	Verb	%	19	100	0.94
	@	@	correct	9	98	0.93
	@	@	corrected	7	99	0.93
	@	@	correcting	2	83	0.90
	@	@	corrects	0	28	0.81
	correctly	Adv	:	19	100	0.93
	correlation	NoC	%	18	78	0.81
	@	@	correlation	14	75	0.80
	@	@	correlations	4	61	0.77
	correspond	Verb	%	23	97	0.88
	@	@	correspond	8	86	0.88
	@	@	corresponded	2	68	0.90
	@	@	corresponding	7	77	0.84
	@	@	corresponds	6	72	0.86
	correspondence	NoC	%	16	96	0.91
	@	@	correspondence	15	96	0.91
	@	@	correspondences	0	27	0.79
	correspondent	NoC	%	23	93	0.82
	@	@	correspondent	20	90	0.80
	@	@	correspondents	3	73	0.90
	corresponding	Adj	:	14	86	0.88
	corridor	NoC	%	28	100	0.88
	@	@	corridor	21	98	0.87
	@	@	corridors	7	98	0.89
	corruption	NoC	%	15	97	0.82
	@	@	corruption	14	96	0.82
	@	@	corruptions	0	12	0.71
	cos/'cos*	Conj	:	163	53	0.64
	cost	NoC	%	269	100	0.93
	@	@	cost	149	100	0.93
	@	@	costs	120	100	0.91
	cost	Verb	%	100	100	0.94
	@	@	cost	57	100	0.94
	@	@	costed	1	46	0.79
	@	@	costing	10	97	0.92
	@	@	costs	32	99	0.91
	costly	Adj	%	12	99	0.93
	@	@	costlier	0	12	0.69
	@	@	costliest	0	17	0.71
	@	@	costly	11	99	0.93
	costume	NoC	%	12	92	0.92
	@	@	costume	7	89	0.91
	@	@	costumes	5	88	0.89
	cottage	NoC	%	40	97	0.91
	@	@	cottage	32	96	0.90
	@	@	cottages	9	89	0.90
	cotton	NoC	%	23	98	0.92
	@	@	cotton	22	98	0.92
	@	@	cottons	0	22	0.77
	could	VMod	:	1683	100	0.96
	council	NoC	%	348	100	0.89
	@	@	council	313	100	0.89
	@	@	councils	35	94	0.89
	councillor	NoC	%	45	97	0.79
	@	@	councillor	25	89	0.71
	@	@	councillors	20	93	0.82
	counselling	NoC	:	13	91	0.85
	count	NoC	%	32	100	0.89
	@	@	count	21	100	0.90
	@	@	counts	12	97	0.82
	count	Verb	%	50	100	0.97
	@	@	count	21	100	0.95
	@	@	counted	13	100	0.95
	@	@	counting	9	100	0.95
	@	@	counts	7	100	0.94
	counter	NoC	%	20	100	0.94
	@	@	counter	17	99	0.93
	@	@	counters	2	77	0.90
	counter	Verb	%	13	98	0.94
	@	@	counter	7	93	0.92
	@	@	countered	4	85	0.90
	@	@	countering	1	51	0.87
	@	@	counters	0	24	0.79
	counterpart	NoC	%	17	92	0.91
	@	@	counterpart	8	88	0.87
	@	@	counterparts	9	84	0.92
	country	NoC	%	486	100	0.93
	@	@	countries	168	100	0.89
	@	@	country	319	100	0.94
	countryside	NoC	:	39	100	0.91
	county	NoC	%	129	100	0.87
	@	@	counties	16	94	0.89
	@	@	county	113	100	0.86
	coup	NoC	%	18	89	0.68
	@	@	coup	17	88	0.67
	@	@	coups	1	44	0.80
	couple	NoC	%	138	100	0.94
	@	@	couple	123	100	0.94
	@	@	couples	16	100	0.90
	couple	Verb	%	14	100	0.94
	@	@	couple	2	67	0.90
	@	@	coupled	12	96	0.93
	@	@	coupling	0	25	0.81
	courage	NoC	:	19	99	0.94
	course	NoC	%	267	100	0.91
	@	@	course	187	100	0.93
	@	@	courses	80	99	0.84
	court	NoC	%	344	100	0.86
	@	@	court	285	100	0.85
	@	@	courts	59	100	0.88
	courtesy	NoC	%	11	98	0.93
	@	@	courtesies	1	33	0.81
	@	@	courtesy	11	98	0.93
	cousin	NoC	%	25	100	0.90
	@	@	cousin	18	97	0.88
	@	@	cousins	7	95	0.90
	covenant	NoC	%	14	72	0.58
	@	@	covenant	9	66	0.63
	@	@	covenants	5	40	0.47
	Coventry	NoP	:	12	87	0.85
	cover	NoC	%	56	100	0.93
	@	@	cover	47	100	0.92
	@	@	covers	9	97	0.93
	cover	Verb	%	191	100	0.96
	@	@	cover	64	100	0.96
	@	@	covered	79	100	0.96
	@	@	covering	29	100	0.95
	@	@	covers	19	100	0.93
	coverage	NoC	%	22	95	0.90
	@	@	coverage	22	95	0.90
	@	@	coverages	0	4	0.35
	cow	NoC	%	26	100	0.90
	@	@	cow	14	100	0.91
	@	@	cows	12	97	0.85
	crack	NoC	%	19	97	0.89
	@	@	crack	12	93	0.87
	@	@	cracks	7	95	0.90
	crack	Verb	%	16	98	0.93
	@	@	crack	6	96	0.93
	@	@	cracked	7	92	0.91
	@	@	cracking	3	88	0.92
	craft	NoC	%	25	99	0.92
	@	@	craft	20	99	0.92
	@	@	crafts	5	80	0.89
	Craig	NoP	%	13	85	0.82
	@	@	Craig	13	85	0.82
	crash	NoC	%	23	100	0.88
	@	@	crash	21	100	0.88
	@	@	crashes	1	63	0.86
	crash	Verb	%	22	100	0.89
	@	@	crash	4	81	0.90
	@	@	crashed	13	93	0.87
	@	@	crashes	1	49	0.85
	@	@	crashing	4	86	0.90
	crawl	Verb	%	12	97	0.89
	@	@	crawl	3	82	0.90
	@	@	crawled	5	77	0.86
	@	@	crawling	3	76	0.88
	@	@	crawls	0	31	0.83
	crazy	Adj	%	18	98	0.90
	@	@	crazier	0	17	0.76
	@	@	craziest	0	19	0.78
	@	@	crazy	18	98	0.90
	cream	NoC	%	33	99	0.90
	@	@	cream	31	99	0.90
	@	@	creams	2	59	0.84
	create	Verb	%	217	100	0.94
	@	@	create	82	100	0.94
	@	@	created	85	100	0.94
	@	@	creates	14	96	0.92
	@	@	creating	35	100	0.94
	creation	NoC	%	50	98	0.92
	@	@	creation	47	98	0.92
	@	@	creations	2	78	0.91
	creative	Adj	:	25	99	0.90
	creature	NoC	%	39	98	0.89
	@	@	creature	19	96	0.88
	@	@	creatures	21	97	0.87
	credit	NoC	%	77	100	0.84
	@	@	credit	71	100	0.83
	@	@	credits	6	87	0.87
	credit	Verb	%	10	100	0.92
	@	@	credit	3	88	0.88
	@	@	credited	5	90	0.90
	@	@	crediting	0	21	0.79
	@	@	credits	2	63	0.74
	creditor	NoC	%	20	78	0.80
	@	@	creditor	8	49	0.70
	@	@	creditors	12	76	0.83
	creep	Verb	%	16	96	0.89
	@	@	creep	4	88	0.91
	@	@	creeping	4	81	0.88
	@	@	creeps	1	42	0.85
	@	@	crept	8	87	0.86
	crew	NoC	%	40	100	0.91
	@	@	crew	30	99	0.91
	@	@	crews	11	91	0.86
	cricket	NoC	%	34	99	0.83
	@	@	cricket	33	99	0.83
	@	@	crickets	1	33	0.78
	crime	NoC	%	89	100	0.88
	@	@	crime	72	100	0.88
	@	@	crimes	18	98	0.87
	criminal	Adj	:	44	98	0.87
	criminal	NoC	%	16	99	0.90
	@	@	criminal	7	93	0.89
	@	@	criminals	10	94	0.89
	crisis	NoC	%	65	100	0.90
	@	@	crises	6	86	0.89
	@	@	crisis	59	100	0.90
	criterion	NoC	%	52	93	0.90
	@	@	criteria	39	90	0.90
	@	@	criterion	13	80	0.86
	critic	NoC	%	39	97	0.90
	@	@	critic	12	90	0.82
	@	@	critics	27	93	0.91
	critical	Adj	:	58	100	0.92
	criticise	Verb	%	21	96	0.91
	@	@	criticise	5	88	0.91
	@	@	criticised	13	87	0.89
	@	@	criticises	1	44	0.85
	@	@	criticising	2	83	0.91
	criticism	NoC	%	59	100	0.91
	@	@	criticism	48	100	0.91
	@	@	criticisms	12	90	0.91
	criticize	Verb	%	17	91	0.81
	@	@	criticize	3	78	0.89
	@	@	criticized	11	81	0.75
	@	@	criticizes	1	32	0.78
	@	@	criticizing	2	72	0.86
	crop	NoC	%	31	99	0.88
	@	@	crop	15	98	0.88
	@	@	crops	16	99	0.86
	cross	NoC	%	46	100	0.94
	@	@	cross	43	100	0.94
	@	@	crosses	3	89	0.90
	cross	Verb	%	70	100	0.94
	@	@	cross	23	100	0.94
	@	@	crossed	31	100	0.91
	@	@	crosses	4	87	0.90
	@	@	crossing	14	99	0.94
	crossing	NoC	%	12	100	0.91
	@	@	crossing	10	100	0.91
	@	@	crossings	2	67	0.87
	crowd	NoC	%	56	99	0.93
	@	@	crowd	43	99	0.92
	@	@	crowds	13	95	0.93
	crown	NoC	%	53	100	0.89
	@	@	crown	51	100	0.89
	@	@	crowns	2	73	0.89
	crucial	Adj	:	45	99	0.93
	crude	Adj	%	14	98	0.93
	@	@	crude	13	98	0.93
	@	@	cruder	1	39	0.83
	@	@	crudest	0	32	0.82
	cruel	Adj	%	14	100	0.91
	@	@	cruel	14	100	0.91
	@	@	crueller	0	9	0.64
	@	@	cruellest	0	34	0.85
	crush	Verb	%	12	98	0.93
	@	@	crush	3	74	0.91
	@	@	crushed	8	97	0.92
	@	@	crushes	0	21	0.80
	@	@	crushing	2	72	0.89
	cry	NoC	%	23	99	0.91
	@	@	cries	7	89	0.89
	@	@	cry	16	97	0.91
	cry	Verb	%	63	99	0.86
	@	@	cried	30	90	0.81
	@	@	cries	2	77	0.84
	@	@	cry	17	97	0.89
	@	@	crying	14	93	0.88
	crystal	NoC	%	21	98	0.88
	@	@	crystal	15	98	0.89
	@	@	crystals	6	82	0.81
	cult	NoC	%	11	91	0.88
	@	@	cult	9	88	0.88
	@	@	cults	1	45	0.82
	cultural	Adj	:	65	95	0.88
	culture	NoC	%	102	100	0.90
	@	@	culture	86	100	0.90
	@	@	cultures	16	96	0.88
	cup	NoC	%	134	100	0.90
	@	@	cup	122	100	0.89
	@	@	cups	12	95	0.91
	cupboard	NoC	%	19	97	0.88
	@	@	cupboard	14	89	0.87
	@	@	cupboards	5	82	0.85
	cure	NoC	%	11	98	0.93
	@	@	cure	10	98	0.93
	@	@	cures	1	56	0.87
	cure	Verb	%	11	99	0.94
